timestamp,is_in_log
3841395567.560425,False
3841395567.667425,False
3841395567.772425,False
3841395567.878425,False
3841395567.983425,False
3841395568.086425,False
3841395568.193425,False
3841395568.299425,False
3841395568.404425,False
3841395568.508425,False
3841395568.612425,False
3841395568.716425,False
3841395568.823425,False
3841395568.928425,False
3841395569.035425,False
3841395569.139425,False
3841395569.241425,False
3841395569.346425,False
3841395569.451425,False
3841395569.556425,False
3841395569.661425,False
3841395569.767425,False
3841395569.870425,False
3841395569.976425,False
3841395570.082425,False
3841395570.185425,False
3841395570.287425,False
3841395570.392425,False
3841395570.498425,False
3841395570.603425,False
3841395570.705425,False
3841395570.808425,False
3841395570.912425,False
3841395571.018425,False
3841395571.121425,False
3841395571.225425,False
3841395571.331425,False
3841395571.433425,False
3841395571.536425,False
3841395571.639425,False
3841395571.745425,False
3841395571.853425,False
3841395571.959425,False
3841395572.065425,False
3841395572.169425,False
3841395572.272425,False
3841395572.377425,False
3841395572.481425,False
3841395572.586425,False
3841395572.691425,False
3841395572.797425,False
3841395572.901425,False
3841395573.006425,False
3841395573.112425,False
3841395573.216425,False
3841395573.322425,False
3841395573.426424,False
3841395573.531425,False
3841395573.634425,False
3841395573.740425,False
3841395573.847425,False
3841395573.949425,False
3841395574.054425,False
3841395574.160425,False
3841395574.266425,False
3841395574.371425,False
3841395574.474425,False
3841395574.578425,False
3841395574.680425,False
3841395574.787425,False
3841395574.893425,False
3841395574.995425,False
3841395575.098425,False
3841395575.204425,False
3841395575.310425,False
3841395575.416425,False
3841395575.523425,False
3841395575.628425,False
3841395575.732425,False
3841395575.838425,False
3841395575.944425,False
3841395576.046425,False
3841395576.153425,False
3841395576.258425,False
3841395576.362425,False
3841395576.466425,False
3841395576.573425,False
3841395576.676424,False
3841395576.782425,False
3841395576.886425,False
3841395576.991425,False
3841395577.096425,False
3841395577.201425,False
3841395577.306425,False
3841395577.410425,False
3841395577.513425,False
3841395577.619425,False
3841395577.725425,False
3841395577.830425,False
3841395577.937425,False
