timestamp,index
3841395567.560425,1
3841395567.667425,2
3841395567.772425,3
3841395567.878425,4
3841395567.983425,5
3841395568.086425,6
3841395568.193425,7
3841395568.299425,8
3841395568.404425,9
3841395568.508425,10
3841395568.612425,11
3841395568.716425,12
3841395568.823425,13
3841395568.928425,14
3841395569.035425,15
3841395569.139425,16
3841395569.241425,17
3841395569.346425,18
3841395569.451425,19
3841395569.556425,20
3841395569.661425,21
3841395569.767425,22
3841395569.870425,23
3841395569.976425,24
3841395570.082425,25
3841395570.185425,26
3841395570.287425,27
3841395570.392425,28
3841395570.498425,29
3841395570.603425,30
3841395570.705425,31
3841395570.808425,32
3841395570.912425,33
3841395571.018425,34
3841395571.121425,35
3841395571.225425,36
3841395571.331425,37
3841395571.433425,38
3841395571.536425,39
3841395571.639425,40
3841395571.745425,41
3841395571.853425,42
3841395571.959425,43
3841395572.065425,44
3841395572.169425,45
3841395572.272425,46
3841395572.377425,47
3841395572.481425,48
3841395572.586425,49
3841395572.691425,50
3841395572.797425,51
3841395572.901425,52
3841395573.006425,53
3841395573.112425,54
3841395573.216425,55
3841395573.322425,56
3841395573.426424,57
3841395573.531425,58
3841395573.634425,59
3841395573.740425,60
3841395573.847425,61
3841395573.949425,62
3841395574.054425,63
3841395574.160425,64
3841395574.266425,65
3841395574.371425,66
3841395574.474425,67
3841395574.578425,68
3841395574.680425,69
3841395574.787425,70
3841395574.893425,71
3841395574.995425,72
3841395575.098425,73
3841395575.204425,74
3841395575.310425,75
3841395575.416425,76
3841395575.523425,77
3841395575.628425,78
3841395575.732425,79
3841395575.838425,80
3841395575.944425,81
3841395576.046425,82
3841395576.153425,83
3841395576.258425,84
3841395576.362425,85
3841395576.466425,86
3841395576.573425,87
3841395576.676424,88
3841395576.782425,89
3841395576.886425,90
3841395576.991425,91
3841395577.096425,92
3841395577.201425,93
3841395577.306425,94
3841395577.410425,95
3841395577.513425,96
3841395577.619425,97
3841395577.725425,98
3841395577.830425,99
3841395577.937425,100
3841395578.041425,101
3841395578.147425,102
3841395578.252425,103
3841395578.354425,104
3841395578.460425,105
3841395578.567425,106
3841395578.671425,107
3841395578.776425,108
3841395578.879425,109
3841395578.981425,110
3841395579.083425,111
3841395579.190425,112
3841395579.297425,113
3841395579.403425,114
3841395579.506425,115
3841395579.612425,116
